participant,session,experiment,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,region_count
0,1,1,4,Right,0,0.32661250557187144,0.005430923101764537,0.1844528113191173,0.007231026711728881,0.8597285067873304,0.03820401255536446,0.13207040504151127,15,15
0,1,1,4,Right,1,0.3865056496597616,0.0040813947661057426,0.19364055310676878,0.005126652789546342,0.9652287581699347,0.03431145784157031,0.1528374532995177,15,15
0,1,1,4,Right,2,0.34132923170755614,0.0032765436575754488,0.19468074235151892,0.0038500354696306863,0.9787481804949054,0.011655225140045529,0.12858826814852886,15,15
0,1,1,4,Right,all,0.35148246231306307,0.002229846384706239,0.19092470225913502,0.0018243949835387379,0.93456848181739,0.005235622135611819,,0,15
0,1,2,0,Noise,0,0.32280745330593225,0.009591451874591282,0.200704348780036,0.00753928866428056,0.8781982942430704,0.02888519948832991,0.10091178341834854,27,56
0,1,2,0,Noise,1,0.372720413483236,0.006953453105908252,0.19341732810910256,0.008421441814584004,0.9091736694677871,0.017454313378592344,0.1291478867804514,27,56
0,1,2,0,Noise,2,0.323022088230741,0.007711923534490648,0.1925056184977459,0.005972617393586567,0.9461053652230123,0.013705031052245773,0.08082277448951425,27,56
0,1,2,0,Noise,all,0.3395166516733031,0.00501424306626379,0.19554243179562816,0.003688443780182012,0.9111591096446233,0.012348810720867527,,0,56
0,1,2,1,Up,0,0.3311308319167589,0.005974296707798141,0.20510411415701174,0.004383074112774107,0.8962331201137171,0.01973097662415358,0.11796104536143237,20,21
0,1,2,1,Up,1,0.37126228811803386,0.004391915246369418,0.1935370095889784,0.007454342783906059,0.9284780578898226,0.0169539150502803,0.14928046490603653,20,21
0,1,2,1,Up,2,0.32097512362700953,0.005052849950813454,0.19252606095393526,0.006042358617846413,0.9547511312217194,0.013574660633484186,0.1123734321894754,20,21
0,1,2,1,Up,all,0.34112274788726743,0.002883306812271421,0.19705572823330847,0.0034536916504495124,0.9264874364084198,0.009813068743257209,,0,21
0,1,2,2,Down,0,0.319405530202785,0.007697009498366916,0.20087883698192327,0.003662726742411735,0.9147595356550581,0.014549479648603278,0.12529822505644087,14,15
0,1,2,2,Down,1,0.36476325473618654,0.005382253079440637,0.18980665529469568,0.002823547787369703,0.9184313725490196,0.01881886029860549,0.14913182182945522,14,15
0,1,2,2,Down,2,0.3225779657639097,0.006718457555864363,0.19309453366321788,0.003996167458958641,0.9559577677224737,0.013837856438223243,0.1291379727082997,14,15
0,1,2,2,Down,all,0.3355822502342937,0.004642994021168185,0.1945933419799456,0.0015822218666590926,0.9297162253088503,0.007464280970293044,,0,15
0,1,2,3,Left,0,0.3281693001591835,0.007116390875550287,0.20502656543604436,0.0033612597878465403,0.9376646180860404,0.03518461491706327,0.13928847940655498,16,17
0,1,2,3,Left,1,0.3722800365364277,0.003762808910964517,0.194439559957014,0.004869669663272665,0.9529411764705882,0.014002800840280107,0.16893476267779706,16,17
0,1,2,3,Left,2,0.3183777720456259,0.005082363987635237,0.19288422262029914,0.004403931510545612,0.955283470854405,0.014564439260250372,0.13610462371620266,16,17
0,1,2,3,Left,all,0.339609036247079,0.0022357190231855613,0.1974501160044525,0.00256098755863977,0.9486297551370112,0.012608470429747208,,0,17
0,1,2,4,Right,0,0.33362258591461474,0.004508964758573709,0.20079780050827964,0.005166138853295056,0.9014303482587065,0.011230822159811813,0.13565520037057682,16,16
0,1,2,4,Right,1,0.3688102637478787,0.0043866586008171615,0.19379333716918976,0.0039969833606644245,0.9583333333333334,0.01833097394905133,0.1653478231024949,16,16
0,1,2,4,Right,2,0.32460606815565385,0.003982406758560786,0.19580930859575907,0.003369232517752977,0.9629524886877828,0.018635998063539484,0.12476389504922318,16,16
0,1,2,4,Right,all,0.3423463059393824,0.0026886132633582444,0.19680014875774282,0.0022420534252176037,0.9409053900932742,0.008296878376783438,,0,16
0,1,3,0,Noise,0,0.3204067356269007,0.009236086691630866,0.20128363862823503,0.006886055068958206,0.8888150609080843,0.05232819153720388,0.08218741907172214,12,43
0,1,3,0,Noise,1,0.3693572930387636,0.011449761473214842,0.19462419575058884,0.01066782824212482,0.8753305973552212,0.06728748201367583,0.12476019850134816,12,43
0,1,3,0,Noise,2,0.3186154259662333,0.010701866805163917,0.19452814655989,0.009729699551016652,0.9389402145056812,0.039039452424739864,0.0920640760179275,12,43
0,1,3,0,Noise,all,0.33612648487729924,0.007327476357247528,0.19681199364623794,0.005169063889102473,0.9010286242563288,0.03529873576684856,,0,43
0,1,3,1,Up,0,0.3233941895358963,0.009101597258766608,0.20710487870337313,0.005336873709546457,0.9420168067226892,0.022851890152751516,0.12019552967347022,17,17
0,1,3,1,Up,1,0.3683645587800454,0.0060664073089284586,0.19371744901448584,0.008576793093624111,0.9058823529411765,0.052959328768899964,0.1282566477523741,17,17
0,1,3,1,Up,2,0.31980991782709856,0.003927288192051215,0.19193849444714217,0.00632186978910709,0.9274778404512489,0.026766052254607278,0.10183662184934095,17,17
