participant,session,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,experiment_count,region_count
1,1,4,Right,1,0.3657111950643386,0.01464655360677541,0.17759974692084107,0.010340485312692762,0.894360311317211,0.03963156734183543,0.11376788994966795,90,5,91
1,1,4,Right,2,0.33428620733824205,0.014380477459569874,0.19931209698433924,0.008596753660519655,0.8996767937944409,0.0422611202439332,0.11059772325943916,90,5,91
1,1,4,Right,all,0.34584369129928516,0.008745331944675172,0.20376884346271112,0.00517503695694332,0.9066067389575494,0.020606874333875536,,0,5,91
1,2,0,Noise,0,0.3325513073495083,0.008084349535568193,0.22889608693148908,0.006581129387352329,0.9212110392046924,0.05935821734722178,0.13182608213877406,278,5,323
1,2,0,Noise,1,0.36161374587195627,0.011966681585596318,0.19139818163505956,0.008923191434833659,0.8867180339196371,0.042990670895952224,0.12385972227281476,278,5,323
1,2,0,Noise,2,0.309253044183128,0.017196191239140565,0.2084142510000825,0.012481629157706857,0.9037297774872635,0.052376690771341654,0.15454934128032544,278,5,323
1,2,0,Noise,all,0.3344726991348642,0.008178689461075327,0.20956950652221037,0.006153201087555211,0.9038862835371977,0.030199631263016988,,0,5,323
1,2,1,Up,0,0.3306277072333028,0.007053189155251825,0.22824113536848853,0.004535037595793421,0.9412641311992863,0.04729234557459562,0.11950879046130529,87,5,90
1,2,1,Up,1,0.3645143294052205,0.010269688006176825,0.19266988370334193,0.00802840026662096,0.9226976960536754,0.0409364786392864,0.11262533918201799,87,5,90
1,2,1,Up,2,0.3097541953438786,0.019091230417950727,0.2086469598964592,0.011381471164368847,0.9380440090550419,0.043264378967105055,0.1535037617630005,87,5,90
1,2,1,Up,all,0.3349654106608006,0.008450325394468022,0.20985265965609656,0.006003603548531483,0.9340019454360011,0.02670977926199591,,0,5,90
1,2,2,Down,0,0.3320070014229344,0.006368088296108775,0.23108966723618402,0.00426509098470166,0.9596558631528526,0.02962348408634541,0.12467009276228472,77,5,78
1,2,2,Down,1,0.3563862853415644,0.008460454551842887,0.19142282972947927,0.006224432465550963,0.9226164447772427,0.037417911863902205,0.11626037341194706,77,5,78
1,2,2,Down,2,0.3100394617473138,0.014944591567726267,0.2077163214177936,0.01079267451315069,0.922580060999365,0.04710136733941635,0.14025503964322533,77,5,78
1,2,2,Down,all,0.3328109161706042,0.005660312803062969,0.21007627279448562,0.0038678477243664503,0.9349507896431535,0.0238492787064601,,0,5,78
1,2,3,Left,0,0.33562465352879595,0.005512064700329499,0.23010589934057507,0.003992518513536845,0.9784913706337712,0.016741971965913857,0.1303051021075261,79,5,79
1,2,3,Left,1,0.3622635973311901,0.010173001383973486,0.19336117540032305,0.006647407909085506,0.9115185131016004,0.034086775953279816,0.12365634464389387,79,5,79
